Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C2, C3, C6, C7, C8, C9, CA1, CD2, CD4",0402,14,"0.1uF,0402,25V",
"C4, C5",0402,2,"22pF,0402,50V",
CA2,0402,1,"10uF,0404,6.3V",
CD1,0805,1,"22uF,0805,16V",
CD3,0603,1,"22uF,0603,6.3V",
D1,SOT-23,1,ESDA5V3L,
"D2, D3, D8",0402,3,LED_ALT,
D7,Diodes_UDFN-10_1.0x2.5mm_P0.5mm,1,CS0806S,
D9,1206,1,PT26-51B/TR8,
"H1, H2, H3, H4",MountingHole_2.2mm_M2_Pad_Via,4,MountingHole_Pad,
J1,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0_16P,
J2,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,Conn_01x04,
J3,HDMI_A_Contact_Technology_HDMI-19APL2_Horizontal,1,HDMI_A,
J4,microSD_Short_1344,1,Micro_SD_Card_Det2,
LD1,L_Sunlord_SWPA252012S,1,2.2uH,
"M1, M2, M3",Fiducial_0.5mm_Mask1mm,3,Fiducial,
Q1,SOT-523,1,MMBT3904,
"R10, R3, R4, R9",0402,4,"330ohm,0402,5%",
"R11, R15, R20, R8",0402,4,"4.7kohm,5%,0402",
R12,0402,1,"47kohm,5%,0402",
"R14, R16",0402,2,"22ohm,5%,0402",
"R5, R6",0402,2,"5.1kohm,0402,5%",
"RA1, RA3",0402,2,"10kohm,1%,0402",
RD1,0402,1,"15kohm,0402,5%",
RD2,0402,1,"18kohm,0402,5%",
RD3,0402,1,"82kohm,0402,5%",
"RN1, RN2",R_Array_Concave_4x0402,2,"10kohm,0402x4,5%",
SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
"TP1, TP2",TestPoint_Pad_D1.5mm,2,TestPoint,
U1,QFN-28-1EP_4x4mm_P0.4mm_EP2.7x2.7mm_ThermalVias,1,"CH32V305GBU6,QFN-28",
"U2, U6",UQFN-10_1.4x1.8mm_P0.4mm,2,SGM7227,
U3,SOT-23-5,1,SY8088AAC,
"U4, U5",SOT-363_SC-70-6,2,SN74LVC1T45DCK,
U7,SOT-353_SC-70-5,1,74LVC1G08,
UA1,TSSOP-8_3x3mm_P0.65mm,1,LMV358,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,"12MHz,3225",
