Designator,Mid X,Mid Y,Rotation,Layer
C1,-5.141625,-5.557397,270.0,top
C10,6.031162,0.0,270.0,top
C11,4.575811,-0.489014,0.0,top
C12,1.745236,-6.35,180.0,top
C2,-5.08,-3.610178,270.0,top
C3,-6.35,-3.614781,90.0,top
C4,-7.731951,-4.103841,135.0,top
C5,-9.168792,-2.667,315.0,top
C6,2.54,7.874,0.0,top
C7,-6.731,3.150792,0.0,top
C8,4.588304,0.694317,180.0,top
C9,4.048737,5.406029,90.0,top
CA1,-3.096339,-5.538251,270.0,top
CA2,5.571696,-4.8006,180.0,top
CA3,8.376754,-6.116897,180.0,top
CD1,-14.438056,3.18236,90.0,top
CD2,-12.529424,0.968748,0.0,top
CD3,-10.869771,6.863739,270.0,top
CD4,-9.606062,6.335378,270.0,top
D1,-13.652527,-1.276096,270.0,top
D2,-5.484681,7.364436,270.0,top
D3,-7.435128,7.367565,90.0,top
D4,13.081,0.5588,0.0,top
D5,13.08673,1.567151,0.0,top
D6,13.081,2.5654,0.0,top
D7,13.081,3.556,0.0,top
D8,-3.517028,7.348795,270.0,top
D9,-5.7658,-7.7216,0.0,top
J1,-19.05,0.0,270.0,top
J2,8.763,0.0,90.0,top
J3,16.139,0.0,90.0,top
J4,-1.3108,0.127,180.0,top
LD1,-12.966874,6.858292,90.0,top
M1,-14.0716,-5.0292,0.0,top
M2,9.038081,9.271435,0.0,top
M3,-17.399,7.62,0.0,top
Q1,13.258114,-1.986305,180.0,top
R1,-4.151034,-5.551909,270.0,top
R10,-8.382,7.366,270.0,top
R11,5.042619,5.408228,90.0,top
R12,13.081,4.5466,0.0,top
R13,-4.088836,-3.610384,90.0,top
R14,13.076536,-0.4318,0.0,top
R15,13.0556,-4.5466,180.0,top
R2,-6.132216,-5.554653,90.0,top
R3,-2.9718,-7.7978,270.0,top
R4,-4.496162,7.351923,270.0,top
R5,-14.460861,-3.757217,0.0,top
R6,-14.464058,0.953587,0.0,top
R7,-11.755964,-7.584833,270.0,top
R8,13.0556,-3.556,180.0,top
R9,-6.465379,7.350359,270.0,top
RA1,2.1082,-8.001,90.0,top
RA2,-3.096339,-3.617143,90.0,top
RA3,3.048,-8.001,90.0,top
RA4,7.890526,-7.577583,270.0,top
RD1,-14.812667,5.880294,270.0,top
RD2,-10.613739,-0.027048,0.0,top
RD3,-10.612126,0.968748,180.0,top
SW1,-15.054,-7.239,0.0,top
U1,-5.588,0.0,180.0,top
U2,4.826,7.493,90.0,top
U3,-11.619935,3.39661,90.0,top
U4,4.974174,2.822941,270.0,top
U5,4.984326,-2.617782,270.0,top
U6,7.384657,6.817354,0.0,top
U7,-0.8382,-7.478,180.0,top
UA1,5.461,-7.112,180.0,top
Y1,-10.033,-4.967834,315.0,top
